일자	몰명	상품유형코드	온라인상품명	온라인상품코드	단위상품명	SAP 자재코드	판매수량	반품수량	정상판매가	정상판매금액	상품판매금액	프로모션할인액	통합쿠폰할인액	온라인전용쿠폰할인액	OK 캐시백사용액	두툼포인트사용액	뷰티포인트사용액	최종결제금액
										(H-I)*J	K-(M+N+O+P+Q)							뷰티포인트포함
기간합계	자사몰						374.0	0.0		4862000	3922070	408200.0	62164.0	452997.0	13299.0	3270.0	340663.0	3922069
2020-01-31	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	11.0	0.0	13000.0	143000	112710	0.0	9100.0	21190.0	0.0	0.0	1275.0	112710
2020-01-30	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	8.0	0.0	13000.0	104000	96089	5200.0	0.0	2711.0	0.0	0.0	372.0	96089
2020-01-29	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	22.0	0.0	13000.0	286000	227000	57200.0	0.0	0.0	1800.0	0.0	13981.0	227000
2020-01-28	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	16.0	0.0	13000.0	208000	157607	41600.0	0.0	0.0	7643.0	1150.0	9583.0	157607
2020-01-27	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	28.0	0.0	13000.0	364000	290871	72800.0	0.0	0.0	329.0	0.0	16865.0	290871
2020-01-26	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	12.0	0.0	13000.0	156000	123914	31200.0	0.0	0.0	886.0	0.0	1591.0	123914
2020-01-25	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	16.0	0.0	13000.0	208000	166400	41600.0	0.0	0.0	0.0	0.0	15599.0	166400
2020-01-24	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	9.0	0.0	13000.0	117000	93600	23400.0	0.0	0.0	0.0	0.0	11139.0	93600
2020-01-23	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	10.0	0.0	13000.0	130000	104000	26000.0	0.0	0.0	0.0	0.0	5744.0	104000
2020-01-22	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	9.0	0.0	13000.0	117000	93600	23400.0	0.0	0.0	0.0	0.0	2157.0	93600
2020-01-21	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	12.0	0.0	13000.0	156000	125683	0.0	6500.0	23783.0	34.0	0.0	1804.0	125683
2020-01-20	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	5.0	0.0	13000.0	65000	59540	0.0	3900.0	1560.0	0.0	0.0	13000.0	59540
2020-01-19	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	8.0	0.0	13000.0	104000	87792	0.0	0.0	16208.0	0.0	0.0	8481.0	87792
2020-01-18	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	7.0	0.0	13000.0	91000	74792	0.0	0.0	16208.0	0.0	0.0	9422.0	74792
2020-01-17	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	4.0	0.0	13000.0	52000	41407	0.0	0.0	10593.0	0.0	0.0	822.0	41407
2020-01-16	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	17.0	0.0	13000.0	221000	179506	5200.0	15364.0	20930.0	0.0	0.0	16277.0	179506
2020-01-15	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	31.0	0.0	13000.0	403000	320201	80600.0	0.0	0.0	79.0	2120.0	5844.0	320200
2020-01-14	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	12.0	0.0	13000.0	156000	146038	0.0	3900.0	6062.0	0.0	0.0	24949.0	146038
2020-01-13	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	28.0	0.0	13000.0	364000	271767	0.0	11700.0	79467.0	1066.0	0.0	123089.0	271767
2020-01-12	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	4.0	0.0	13000.0	52000	45741	0.0	3900.0	2359.0	0.0	0.0	0.0	45741
2020-01-11	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	5.0	0.0	13000.0	65000	65000	0.0	0.0	0.0	0.0	0.0	0.0	65000
2020-01-10	자사몰	일반상품	순정 약산성 5.5 진정 토너	105001149.0	레귤러사이즈(180ml)	110090131.0	7.0	0.0	13000.0	91000	82030	0.0	7800.0	1170.0	0.0	0.0	170.0	82030
